title,category,price,rating,num_reviews,num_subscribers
After Effectsでロゴアニメーションを作ってブランディングを強化しよう。,Lifestyle,8640.0,3.86,15,212
6 Steps to Manifesting an Income Goal in Your Business,IT & Software,3200.0,4.67,11,139
Masterclass: Start a Profitable Restaurant Business,Finance & Accounting,6400.0,4.54,47,1466
Amazon FBA Arbitrage: Make Money Without Private Labeling,Business,2560.0,4.56,43,538
Augmented Reality Portal using Apple ARKit framework for AR,Development,1920.0,4.23,192,942
"Master 3D, de Cero a Héroe Vol.7: Crea a ""Batman""",Lifestyle,7680.0,4.61,73,389
Writing That Moves: Write Novels That Keep Pages Turning,IT & Software,1280.0,4.77,315,3147
How to Earn Passive Income As A Fashion Entrepreneur,Finance & Accounting,1600.0,3.65,27,4276
Become Independent Nail Art Tech with Home manicure Business,Business,1280.0,4.48,34,314
Locking and Unlocking Levels in Your Solar2D Games,Development,1280.0,4.55,11,85
Microsoft 365 PowerApps,Lifestyle,2560.0,4.15,524,1828
R Programming,IT & Software,6400.0,3.7,189,42750
Cost Reduction: Cut Costs and Maximise Profits,Finance & Accounting,8640.0,4.34,281,1063
QuickBooks Vendors And Accounts Payable,Business,1280.0,4.25,99,744
Cocos2d-x v3 JavaScript - Game Development Series,Development,4800.0,3.48,49,26434
Mudras for Beginners: Self Healing Techniques,Lifestyle,0.0,4.45,21,1025
21 Strategies to Build GREAT Credit!,IT & Software,1280.0,5.0,1,8
"Mastering Your Industry: Competitors, Products, & Suppliers",Finance & Accounting,3200.0,4.13,496,1399
The Top Three Things That Sell Most Kindle Nonfiction Books,Business,8640.0,3.99,81,5881
Database Management System from scratch - Part 1,Development,1280.0,2.79,30,3168
"Change Your Handwriting, Change Your Life",Lifestyle,1600.0,3.38,41,4193
Cryptocurrency Investment in 2020,IT & Software,8640.0,3.89,9,197
FinTech - Practitioner course on Payment Gateway and QR Code,Finance & Accounting,8640.0,3.97,23,550
Self-Publishing: Beginner to Advanced - The Complete Course,Business,1280.0,4.09,75,9064
Learn Python From Scratch,Development,8640.0,2.69,47,6050
How to Draw Like a Master. Drawing a Hand.,Lifestyle,1920.0,3.32,27,587
Bitcoin dalla teoria alla pratica - sezione Transazioni,IT & Software,3200.0,0.0,0,2
Microsoft Excel for Business Professionals,Finance & Accounting,8640.0,4.55,465,5558
How to Sell Goods and Services to the Government of Canada,Business,8640.0,5.0,5,31
WordPress E-commerce: Build Two Stores and a Membership Site,Development,8640.0,4.38,537,4633
Improve Your Reading Speed and Comprehension,Lifestyle,2880.0,4.34,20,107
HR Analytics & People Analytics 101 - Beginner,IT & Software,6400.0,4.28,102,313
Create innovative ideas quickly using technology,Finance & Accounting,6400.0,3.43,10,1052
Start Business with low cost and good Strategy,Business,8640.0,3.19,11,3971
Build an 8-bit website using Bootstrap and Javascript.,Development,1280.0,4.14,17,5861
Typografie - Die besten Schriftarten im Geschäftsalltag,Lifestyle,4800.0,3.8,31,326
"Oracle Apps R12 Technical Training Bundle (Technical, D2K..)",IT & Software,5760.0,3.04,7,19
Text Mining -  Learn it from Scratch Using Case Study in R!,Finance & Accounting,8640.0,3.57,11,538
Improve your Handwriting - Improve your Life,Business,4800.0,4.5,789,6759
Mastering Flutter,Development,8000.0,3.99,23,112
How to make a first person view (FPV) drone,Lifestyle,1920.0,4.03,2,63
Course 4: MCSA Windows Server 2019 Enterprise Network,IT & Software,8640.0,4.29,15,442
"How to set up an IRS Payment Plan,Instructed by Ex-IRS Agent",Finance & Accounting,1280.0,4.39,3,11
Brand Identity Breakthrough: Make Your Products Irresistible,Business,1280.0,4.66,24,655
Learn C as your first programming language,Development,6400.0,3.98,30,405
Twitter - JavaScript Quick Reply ChatBot & 100% automation,Lifestyle,1280.0,5.0,3,8
Diagnosis Evolution: The ICD-9 to ICD-10 Transition,IT & Software,4800.0,4.26,51,279
Goal Setting for Business Success,Finance & Accounting,2560.0,4.39,4,533
Complete Machine Learning and Deep Learning With H2O in R,Business,8640.0,4.35,39,343
MySQL 101 for beginners,Development,6400.0,4.24,19,1301
Autism Parents’ Starter Kit: Tips & Tools for Your 1st Year,Lifestyle,1280.0,3.92,3,19
Forex Trading Profitably,IT & Software,1280.0,3.11,16,523
Story-Selling: Email & Content Marketing That'll Boost Sales,Finance & Accounting,3200.0,3.22,28,6139
The Complete Public Speaking Certification Program (Part 3),Business,8640.0,4.57,109,1008
Streaming Big Data with Spark Streaming & Scala - Hands On!,Development,8960.0,4.63,2730,19709
Marketing Relacional,Lifestyle,1280.0,4.47,10,81
Time Management Public Speaking - Drastically Reduce Prep,IT & Software,8640.0,4.4,122,5720
Sarbanes-Oxley (SOX) General and Applications Controls,Finance & Accounting,6400.0,4.19,77,286
Launch a Subscription Business,Business,1280.0,3.13,50,3602
Fundamentals of image processing using Python and opencv,Development,1600.0,4.09,19,52
Arm Your Child To Be Drug Free with 5 Simple Actions,Lifestyle,8640.0,5.0,2,800
CCT Routing & Switching exam (RSTECH) : Practice Tests,IT & Software,1920.0,3.83,11,51
Forex Trading: Technical Analysis Mastery For Daily Profit,Finance & Accounting,8640.0,4.33,73,707
